CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW
60,50,70,61,60,58,0,0,1421,1420,1420,1421,1420,1420,0,0,21,522,1554,2020,3107,0,932,3531,11144
61,67,55,52,64,51,0,0,1421,1420,1420,1420,1421,1420,0,0,80,522,1554,2176,3109,0,932,3571,11342
60,63,56,45,57,50,0,0,1420,1420,1421,1420,1419,1420,0,0,62,522,1554,2020,3109,0,932,3531,11146
63,57,55,59,59,46,0,0,1420,1420,1420,1420,1420,1420,0,0,58,522,1554,2176,3109,0,932,3571,11342
59,51,53,54,61,53,0,0,1419,1420,1420,1420,1420,1420,0,0,85,522,1554,2020,3109,0,932,3571,11186
58,60,61,54,53,57,0,0,1420,1420,1421,1420,1420,1420,0,0,53,522,1554,2020,3109,0,932,3531,11146
63,56,48,64,57,47,0,0,1419,1420,1420,1420,1420,1420,0,0,41,522,1554,2020,3109,0,932,3531,11146
68,57,60,49,60,54,0,0,1421,1420,1420,1421,1421,1421,0,0,65,522,1554,2020,3109,0,932,3531,11146
63,61,52,57,64,59,0,0,1421,1420,1421,1420,1421,1421,0,0,5,522,1554,2176,3109,0,932,3531,11302
81,66,69,73,74,66,0,0,1420,1420,1421,1419,1420,1421,0,0,91,522,1554,2176,3107,0,932,3531,11300
60,70,51,70,62,52,0,0,1420,1421,1420,1419,1419,1421,0,0,16,522,1554,2176,3109,0,932,3571,11342
66,59,57,60,57,56,0,0,1418,1420,1420,1420,1416,1420,0,0,91,522,1554,2176,3109,0,932,3531,11302
65,61,55,56,67,63,0,0,1420,1420,1420,1420,1420,1420,0,0,27,522,1554,2176,3109,0,932,3531,11302
66,66,58,61,67,64,0,0,1418,1422,1420,1420,1420,1420,0,0,83,522,1554,2176,3109,0,932,3531,11302
54,60,65,57,69,69,0,0,1420,1423,1420,1420,1420,1420,0,0,30,522,1554,2176,3107,0,932,3531,11300
61,63,60,61,62,52,0,0,1420,1420,1418,1420,1420,1420,0,0,21,522,1554,2176,3107,0,932,3531,11300
56,61,58,64,57,62,0,0,1420,1422,1420,1421,1420,1418,0,0,45,522,1554,2176,3109,0,932,3531,11302
55,62,59,56,65,53,0,0,1419,1420,1420,1420,1420,1420,0,0,65,522,1554,2176,3109,0,932,3571,11342
67,60,54,63,64,49,0,0,1421,1421,1421,1421,1421,1420,0,0,80,522,1554,2176,3109,0,932,3531,11302
58,51,62,51,51,57,0,0,1420,1420,1420,1420,1420,1422,0,0,74,522,1554,2020,3107,0,932,3531,11144
55,72,57,51,53,51,0,0,1420,1420,1420,1418,1422,1419,0,0,55,522,1554,2020,3109,0,932,3531,11146
69,48,60,46,57,56,0,0,1418,1420,1421,1421,1419,1420,0,0,90,522,1554,2020,3109,0,932,3531,11146
56,68,55,44,56,67,0,0,1420,1420,1420,1420,1420,1419,0,0,42,522,1554,2020,3109,0,932,3531,11146
60,76,55,50,44,42,0,0,1421,1419,1421,1420,1420,1420,0,0,90,522,1554,2020,3109,0,932,3531,11146
70,70,65,77,66,62,0,0,1420,1420,1420,1418,1420,1420,0,0,92,522,1399,2330,3107,0,932,3531,11299
61,54,61,66,54,45,0,0,1416,1421,1420,1421,1420,1421,0,0,45,522,1554,2176,3109,0,932,3531,11302
67,59,56,64,56,54,0,0,1420,1420,1420,1420,1420,1420,0,0,32,522,1554,2176,3109,0,932,3531,11302
61,69,50,63,55,52,0,0,1420,1420,1420,1422,1420,1420,0,0,29,522,1554,2176,3109,0,932,3571,11342
63,56,62,65,60,64,0,0,1420,1422,1420,1420,1420,1420,0,0,73,522,1554,2176,3109,0,932,3531,11302
62,50,61,65,60,60,0,0,1420,1420,1419,1420,1421,1422,0,0,73,522,1554,2176,3109,0,932,3531,11302
64,60,63,61,63,61,0,0,1421,1420,1420,1417,1420,1420,0,0,6,522,1554,2176,3109,0,932,3531,11302
65,66,53,53,67,56,0,0,1421,1420,1420,1421,1421,1421,0,0,36,522,1554,2176,3109,0,932,3531,11302
62,64,58,63,62,64,0,0,1420,1420,1421,1420,1420,1417,0,0,34,522,1554,2176,3109,0,932,3531,11302
62,67,62,67,53,59,0,0,1416,1420,1420,1420,1420,1420,0,0,22,522,1554,2176,3109,0,932,3531,11302
68,71,67,70,62,61,0,0,1420,1420,1420,1420,1420,1420,0,0,56,522,1554,2330,3107,0,932,3571,11494
82,75,75,82,76,75,0,0,1420,1419,1419,1420,1418,1420,0,0,11,522,1553,2486,3263,0,932,3571,11805
74,70,75,68,74,76,0,0,1420,1420,1420,1420,1421,1420,0,0,47,624,1709,2330,3107,0,932,3571,11649
64,56,72,59,62,57,0,0,1421,1422,1420,1420,1420,1420,0,0,31,624,1710,2176,3109,0,932,3531,11458
54,62,54,53,69,59,0,0,1420,1420,1421,1420,1419,1420,0,0,69,624,1710,2176,3109,0,932,3531,11458
59,54,64,69,55,61,0,0,1421,1422,1418,1420,1419,1421,0,0,65,624,1710,2176,3107,0,932,3531,11456
59,58,57,56,49,66,0,0,1420,1418,1420,1420,1416,1417,0,0,16,522,1710,2176,3109,0,932,3571,11498
66,63,81,74,67,68,0,0,1420,1420,1420,1420,1420,1420,0,0,92,522,1554,2176,3109,0,932,3531,11302
64,55,54,54,51,55,0,0,1420,1420,1420,1421,1421,1420,0,0,50,522,1554,2020,3109,0,932,3531,11146
66,63,69,59,55,56,0,0,1420,1421,1420,1420,1420,1420,0,0,76,522,1554,2176,3109,0,932,3571,11342
66,61,60,60,51,56,0,0,1420,1420,1421,1420,1420,1420,0,0,56,522,1554,2176,3109,0,932,3531,11302
66,66,69,63,65,69,0,0,1420,1420,1421,1420,1420,1420,0,0,68,522,1554,2331,3109,0,932,3531,11457
74,72,76,74,63,66,0,0,1421,1423,1420,1420,1420,1420,0,0,71,522,1554,2487,3109,0,932,3571,11653
79,76,71,70,68,66,0,0,1420,1420,1420,1420,1420,1420,0,0,85,522,1554,2331,3109,0,932,3531,11457
71,78,66,65,65,68,0,0,1421,1420,1421,1420,1420,1420,0,0,28,522,1553,2330,3107,0,932,3611,11533
62,66,71,64,62,57,0,0,1420,1420,1420,1421,1420,1420,0,0,17,522,1554,2176,3109,0,932,3531,11302
65,63,70,68,69,65,0,0,1420,1420,1419,1420,1420,1420,0,0,23,522,1554,2331,3109,0,932,3531,11457
66,72,69,68,65,62,0,0,1420,1417,1420,1420,1421,1420,0,0,42,522,1554,2331,3109,0,932,3571,11497
72,73,65,54,60,62,0,0,1420,1420,1421,1420,1421,1420,0,0,41,624,1554,2331,3109,0,932,3531,11457
70,79,69,70,71,68,0,0,1420,1421,1420,1421,1420,1422,0,0,57,624,1553,2486,3107,0,932,3571,11649
93,90,89,93,90,90,0,0,1422,1420,1421,1420,1413,1421,0,0,91,624,1399,2642,3109,0,932,3491,11573
87,83,83,81,85,83,0,0,1420,1420,1419,1420,1420,1420,0,0,75,675,1554,2487,3107,0,932,3531,11611
73,77,67,70,72,71,0,0,1420,1420,1419,1417,1421,1420,0,0,37,675,1710,2486,3107,0,932,3571,11806
73,73,78,61,66,70,0,0,1418,1420,1420,1421,1420,1420,0,0,25,675,1554,2331,3109,0,932,3531,11457
69,68,63,56,72,67,0,0,1421,1420,1420,1415,1420,1420,0,0,65,675,1709,2175,3107,0,932,3611,11534
70,64,60,68,60,57,0,0,1420,1420,1420,1420,1420,1419,0,0,9,624,1710,2176,3109,0,932,3571,11498
74,66,68,67,71,74,0,0,1420,1421,1420,1420,1420,1420,0,0,41,624,1709,2330,3263,0,932,3571,11805
68,66,66,66,69,64,0,0,1420,1420,1420,1420,1420,1421,0,0,34,675,1710,2331,3107,0,932,3571,11651
78,73,69,71,61,53,0,0,1421,1420,1420,1421,1420,1417,0,0,31,675,1710,2331,3107,0,932,3571,11651
82,80,79,77,87,82,0,0,1420,1421,1420,1420,1420,1420,0,0,31,675,1553,2641,3107,0,932,3611,11844
84,86,81,81,86,77,0,0,1420,1422,1421,1421,1420,1421,0,0,59,675,1553,2642,3107,0,932,3611,11845
81,78,81,72,79,80,0,0,1420,1420,1421,1420,1417,1420,0,0,43,828,1709,2486,3107,0,932,3651,11885
68,67,62,62,73,68,0,0,1420,1421,1420,1420,1420,1420,0,0,46,828,1864,2330,3263,0,932,3571,11960
72,68,64,69,74,74,0,0,1421,1420,1420,1420,1420,1420,0,0,63,828,1710,2330,3107,0,932,3571,11650
75,67,70,72,74,74,0,0,1420,1420,1418,1420,1420,1420,0,0,23,624,1864,2330,3263,0,932,3571,11960
80,80,72,73,81,81,0,0,1421,1423,1421,1420,1420,1420,0,0,26,624,1554,2487,3107,0,932,3571,11651
83,80,82,80,78,80,0,0,1420,1420,1420,1419,1420,1420,0,0,68,624,1554,2487,3107,0,932,3571,11651
75,73,60,60,63,61,0,0,1420,1419,1419,1418,1421,1420,0,0,44,624,1710,2331,3109,0,932,3531,11613
73,67,64,66,68,72,0,0,1420,1421,1421,1421,1421,1420,0,0,68,624,1553,2486,3107,0,932,3571,11649
84,77,75,75,70,77,0,0,1418,1419,1418,1420,1420,1421,0,0,28,624,1554,2486,3107,0,932,3571,11650
77,70,75,62,71,64,0,0,1420,1420,1420,1420,1420,1420,0,0,18,624,1710,2486,3263,0,932,3571,11962
72,67,62,67,66,68,0,0,1420,1419,1421,1420,1420,1420,0,0,54,624,1554,2331,3109,0,932,3571,11497
71,67,71,75,67,67,0,0,1420,1421,1420,1420,1420,1420,0,0,34,624,1709,2331,3263,0,932,3571,11806
79,72,69,66,59,61,0,0,1420,1421,1418,1420,1422,1420,0,0,29,624,1553,2330,3263,0,932,3651,11729
77,76,79,83,85,83,0,0,1420,1420,1420,1420,1420,1420,0,0,51,675,1709,2486,3263,0,1087,3611,12156
80,75,67,59,65,66,0,0,1420,1420,1420,1420,1420,1416,0,0,43,675,1710,2331,3107,0,932,3571,11651
66,56,62,62,65,58,0,0,1420,1420,1420,1422,1420,1421,0,0,49,675,1709,2175,3107,0,932,3571,11494
72,65,62,61,59,63,0,0,1420,1420,1420,1420,1420,1415,0,0,24,675,1710,2176,3107,0,932,3611,11536
76,79,70,71,73,75,0,0,1421,1420,1420,1420,1418,1420,0,0,54,624,1553,2486,3107,0,932,3611,11689
94,97,95,97,99,96,0,0,1420,1420,1420,1420,1420,1420,0,0,6,624,1399,2798,3107,0,932,3571,11807
74,67,80,78,66,78,0,0,1418,1423,1420,1420,1420,1421,0,0,75,624,1554,2331,3107,0,932,3571,11495
64,69,66,61,65,67,0,0,1421,1420,1420,1421,1420,1420,0,0,13,624,1710,2176,3109,0,932,3571,11498
67,58,66,61,57,52,0,0,1420,1420,1422,1421,1423,1420,0,0,72,624,1554,2176,3109,0,932,3611,11382
73,71,61,66,67,65,0,0,1420,1420,1421,1422,1418,1421,0,0,64,624,1553,2330,3107,0,932,3571,11493
76,72,74,74,72,73,0,0,1420,1420,1420,1420,1420,1420,0,0,44,905,1864,2330,3263,0,932,3571,11960
76,80,68,70,71,70,0,0,1421,1420,1420,1421,1420,1419,0,0,23,905,2020,2486,3263,0,932,3571,12272
74,69,67,68,71,67,0,0,1418,1420,1421,1420,1420,1420,0,0,34,905,2020,2330,3263,0,932,3571,12116
72,70,64,66,66,57,0,0,1420,1420,1420,1421,1420,1420,0,0,70,624,1865,2176,3107,0,932,3611,11691
69,69,64,62,58,64,0,0,1418,1420,1420,1420,1420,1424,0,0,5,624,1709,2175,3263,0,932,3571,11650
66,66,51,65,64,58,0,0,1420,1420,1420,1420,1420,1420,0,0,14,624,1710,2176,3109,0,932,3571,11498
63,65,57,53,55,53,0,0,1420,1421,1421,1420,1420,1420,0,0,19,624,1710,2176,3109,0,932,3571,11498
65,60,65,61,65,60,0,0,1421,1421,1418,1419,1420,1421,0,0,49,624,1710,2176,3264,0,932,3571,11653
70,56,63,63,56,51,0,0,1420,1420,1420,1420,1418,1420,0,0,54,624,1710,2176,3109,0,932,3571,11498
69,68,73,62,80,65,0,0,1420,1420,1420,1420,1420,1420,0,0,38,522,1709,2330,3263,0,932,3571,11805
79,70,68,73,66,68,0,0,1420,1420,1420,1420,1420,1420,0,0,48,522,1554,2331,3109,0,932,3571,11497
65,68,68,63,60,64,0,0,1420,1420,1421,1416,1420,1420,0,0,58,624,1710,2331,3107,0,932,3571,11651
65,67,77,73,76,73,0,0,1421,1421,1420,1420,1420,1421,0,0,0,624,1554,2487,3109,0,932,3531,11613
69,64,55,74,63,69,0,0,1419,1420,1420,1419,1420,1420,0,0,0,624,622,2488,2799,0,622,3451,9982
